抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-03-07,"[8, 2, 5]","[0, 7, 3]",0,はずれ,0.91,PPO/Diffusion,予測1
1995-03-07,"[0, 3, 7]","[0, 7, 3]",3,ボックス,1.0063,BaseModel,予測2
1995-03-07,"[1, 4, 8]","[0, 7, 3]",0,はずれ,0.9482,BaseModel,予測3
1995-03-07,"[3, 8, 9]","[0, 7, 3]",1,はずれ,0.9408,BaseModel,予測4
1995-03-07,"[0, 1, 2]","[0, 7, 3]",1,はずれ,0.9406,BaseModel,予測5
1995-03-10,"[1, 5, 9]","[5, 4, 7]",1,はずれ,0.9414,BaseModel,予測1
1995-03-10,"[4, 5, 7]","[5, 4, 7]",3,ボックス,1.0093,BaseModel,予測2
1995-03-10,"[1, 2, 5]","[5, 4, 7]",1,はずれ,0.9488,BaseModel,予測3
1995-03-10,"[1, 2, 4]","[5, 4, 7]",1,はずれ,0.9409,BaseModel,予測4
1995-03-10,"[0, 1, 2]","[5, 4, 7]",0,はずれ,0.9407,BaseModel,予測5
1995-03-14,"[1, 2, 9]","[0, 6, 3]",0,はずれ,0.9416,BaseModel,予測1
1995-03-14,"[0, 3, 6]","[0, 6, 3]",3,ボックス,1.0043,BaseModel,予測2
1995-03-14,"[2, 6, 9]","[0, 6, 3]",1,はずれ,0.9407,BaseModel,予測3
1995-03-14,"[0, 1, 3]","[0, 6, 3]",2,はずれ,0.9401,BaseModel,予測4
1995-03-14,"[0, 6, 8]","[0, 6, 3]",2,はずれ,0.9394,BaseModel,予測5
1995-03-17,"[3, 4, 7]","[6, 3, 4]",2,はずれ,0.9364,BaseModel,予測1
1995-03-17,"[3, 4, 6]","[6, 3, 4]",3,ボックス,1.0062,BaseModel,予測2
1995-03-17,"[2, 8, 9]","[6, 3, 4]",0,はずれ,0.9415,BaseModel,予測3
1995-03-17,"[5, 7, 8]","[6, 3, 4]",0,はずれ,0.9409,BaseModel,予測4
1995-03-17,"[0, 1, 2]","[6, 3, 4]",0,はずれ,0.9408,BaseModel,予測5
1995-03-21,"[0, 2, 5]","[3, 3, 3]",0,はずれ,0.941,BaseModel,予測1
1995-03-21,"[1, 2, 5]","[3, 3, 3]",0,はずれ,0.9489,BaseModel,予測2
1995-03-21,"[0, 5, 9]","[3, 3, 3]",0,はずれ,0.9413,BaseModel,予測3
1995-03-21,"[1, 2, 8]","[3, 3, 3]",0,はずれ,0.9409,BaseModel,予測4
1995-03-21,"[0, 1, 2]","[3, 3, 3]",0,はずれ,0.9408,BaseModel,予測5
1995-03-24,"[0, 1, 9]","[4, 0, 5]",1,はずれ,0.9411,BaseModel,予測1
1995-03-24,"[0, 4, 5]","[4, 0, 5]",3,ボックス,1.0094,BaseModel,予測2
1995-03-24,"[2, 7, 8]","[4, 0, 5]",0,はずれ,0.941,BaseModel,予測3
1995-03-24,"[0, 4, 6]","[4, 0, 5]",2,はずれ,0.9399,BaseModel,予測4
1995-03-24,"[1, 2, 6]","[4, 0, 5]",0,はずれ,0.9361,BaseModel,予測5
1995-03-28,"[0, 3, 7]","[1, 6, 8]",0,はずれ,0.9374,BaseModel,予測1
1995-03-28,"[1, 6, 8]","[1, 6, 8]",3,ストレート,1.0064,BaseModel,予測2
1995-03-28,"[3, 8, 9]","[1, 6, 8]",1,はずれ,0.9414,BaseModel,予測3
1995-03-28,"[1, 3, 7]","[1, 6, 8]",1,はずれ,0.941,BaseModel,予測4
1995-03-28,"[0, 1, 2]","[1, 6, 8]",1,はずれ,0.9409,BaseModel,予測5
1995-03-31,"[2, 7, 9]","[3, 8, 9]",1,はずれ,0.9417,BaseModel,予測1
1995-03-31,"[3, 8, 9]","[3, 8, 9]",3,ストレート,1.0122,BaseModel,予測2
1995-03-31,"[2, 3, 4]","[3, 8, 9]",1,はずれ,0.9491,BaseModel,予測3
1995-03-31,"[2, 4, 7]","[3, 8, 9]",0,はずれ,0.9413,BaseModel,予測4
1995-03-31,"[3, 7, 8]","[3, 8, 9]",2,はずれ,0.6267,Unknown,予測5
1995-04-04,"[0, 2, 5]","[5, 8, 7]",1,はずれ,0.9412,BaseModel,予測1
1995-04-04,"[5, 7, 8]","[5, 8, 7]",3,ボックス,1.0112,BaseModel,予測2
1995-04-04,"[1, 2, 4]","[5, 8, 7]",0,はずれ,0.949,BaseModel,予測3
1995-04-04,"[1, 4, 5]","[5, 8, 7]",1,はずれ,0.9413,BaseModel,予測4
1995-04-04,"[0, 1, 2]","[5, 8, 7]",0,はずれ,0.941,BaseModel,予測5
1995-04-07,"[0, 3, 9]","[3, 0, 4]",2,はずれ,0.9416,BaseModel,予測1
1995-04-07,"[0, 3, 4]","[3, 0, 4]",3,ボックス,1.0104,BaseModel,予測2
1995-04-07,"[3, 4, 9]","[3, 0, 4]",2,はずれ,0.9419,BaseModel,予測3
1995-04-07,"[4, 6, 9]","[3, 0, 4]",1,はずれ,0.941,BaseModel,予測4
1995-04-07,"[2, 6, 8]","[3, 0, 4]",0,はずれ,0.9364,BaseModel,予測5
1995-04-11,"[1, 7, 9]","[0, 4, 8]",0,はずれ,0.9417,BaseModel,予測1
1995-04-11,"[0, 4, 8]","[0, 4, 8]",3,ストレート,1.0112,BaseModel,予測2
1995-04-11,"[2, 5, 8]","[0, 4, 8]",1,はずれ,0.95,BaseModel,予測3
1995-04-11,"[1, 2, 8]","[0, 4, 8]",1,はずれ,0.9413,BaseModel,予測4
1995-04-11,"[2, 6, 7]","[0, 4, 8]",0,はずれ,0.9406,BaseModel,予測5
1995-04-14,"[2, 3, 6]","[2, 2, 8]",1,はずれ,0.9408,BaseModel,予測1
1995-04-14,"[2, 3, 5]","[2, 2, 8]",1,はずれ,0.9502,BaseModel,予測2
1995-04-14,"[1, 2, 8]","[2, 2, 8]",2,ミニ,0.9414,BaseModel,予測3
1995-04-14,"[2, 6, 9]","[2, 2, 8]",1,はずれ,0.9411,BaseModel,予測4
1995-04-14,"[3, 5, 6]","[2, 2, 8]",0,はずれ,0.9409,BaseModel,予測5
1995-04-18,"[0, 1, 5]","[9, 2, 2]",0,はずれ,0.9378,BaseModel,予測1
1995-04-18,"[2, 2, 9]","[9, 2, 2]",2,ボックス,1.0152,BaseModel,予測2
1995-04-18,"[3, 4, 5]","[9, 2, 2]",0,はずれ,0.9503,BaseModel,予測3
1995-04-18,"[0, 1, 2]","[9, 2, 2]",1,はずれ,0.9414,BaseModel,予測4
1995-04-21,"[1, 5, 9]","[6, 9, 7]",1,はずれ,0.9385,BaseModel,予測1
1995-04-21,"[6, 7, 9]","[6, 9, 7]",3,ボックス,1.0104,BaseModel,予測2
1995-04-21,"[3, 4, 5]","[6, 9, 7]",0,はずれ,0.9503,BaseModel,予測3
1995-04-21,"[4, 5, 8]","[6, 9, 7]",0,はずれ,0.9419,BaseModel,予測4
1995-04-21,"[0, 2, 3]","[6, 9, 7]",0,はずれ,0.9419,BaseModel,予測5
1995-04-25,"[0, 4, 5]","[9, 7, 0]",1,はずれ,0.9416,BaseModel,予測1
1995-04-25,"[0, 7, 9]","[9, 7, 0]",3,ボックス,1.0134,BaseModel,予測2
1995-04-25,"[2, 3, 4]","[9, 7, 0]",0,はずれ,0.9506,BaseModel,予測3
1995-04-25,"[3, 4, 5]","[9, 7, 0]",0,はずれ,0.9419,BaseModel,予測4
1995-04-25,"[1, 4, 8]","[9, 7, 0]",0,はずれ,0.9416,BaseModel,予測5
1995-04-28,"[0, 7, 0]","[2, 9, 8]",0,はずれ,0.91,PPO/Diffusion,予測1
1995-04-28,"[2, 8, 9]","[2, 9, 8]",3,ボックス,1.0163,BaseModel,予測2
1995-04-28,"[1, 3, 8]","[2, 9, 8]",1,はずれ,0.9416,BaseModel,予測3
1995-04-28,"[2, 6, 8]","[2, 9, 8]",2,はずれ,0.9413,BaseModel,予測4
